mid,netflix,amazon_prime,disney_plus,hulu,original_title,homepage,overview,popularity,production_countries,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,genres_1,genres_2,genres_3,keywords_1,keywords_2,keywords_3
17,1,0,0,0,Green Lantern,http://greenlanternmovie.warnerbros.com/,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",51.872839,United States of America,2011-06-16,219851172,114.0,English,5.1,2487,Adventure,Action,Thriller,dc comics,transformation,superhero
18,0,0,1,0,Toy Story 3,http://disney.go.com/toystory/,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",59.995418,United States of America,2010-06-16,1066969703,103.0,English,7.6,4597,Animation,Family,Comedy,hostage,college,toy
19,1,0,0,0,Terminator Salvation,https://www.warnerbros.com/terminator-salvation,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",71.862892,Germany,2009-05-20,371353001,115.0,English,5.9,2463,Action,Science Fiction,Thriller,saving the world,artificial intelligence,prophecy
20,0,0,1,0,X-Men: Days of Future Past,http://www.x-menmovies.com/,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,118.078691,United Kingdom,2014-05-15,747862775,131.0,English,7.5,6032,Action,Adventure,Fantasy,1970s,mutant,time travel
21,0,0,1,0,Prince of Persia: The Sands of Time,http://disney.go.com/disneypictures/princeofpersia,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",62.169881,United States of America,2010-05-19,335154643,116.0,English,6.2,2317,Adventure,Fantasy,Action,persia,sandstorm,brother against brother
22,1,0,0,0,Indiana Jones and the Kingdom of the Crystal Skull,http://www.indianajones.com/site/index.html,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",75.674458,United States of America,2008-05-21,786636033,122.0,English,5.7,2495,Adventure,Action,,saving the world,riddle,whip
23,0,0,1,0,The Good Dinosaur,http://movies.disney.com/the-good-dinosaur,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,51.692953,United States of America,2015-11-14,331926147,93.0,English,6.6,1736,Adventure,Animation,Family,tyrannosaurus rex,friends,alternate history
24,0,0,1,0,Brave,http://disney.go.com/brave/#/home,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",125.114374,United States of America,2012-06-21,538983207,93.0,English,6.7,4641,Animation,Adventure,Comedy,scotland,rebel,bravery
25,0,0,0,1,Star Trek Beyond,http://www.startrekmovie.com/,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",65.352913,United States of America,2016-07-07,343471816,122.0,English,6.6,2568,Action,Adventure,Science Fiction,sequel,stranded,hatred
26,1,0,0,0,2012,http://www.sonypictures.com/movies/2012,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",45.274225,Canada,2009-10-10,769653595,158.0,English,5.6,4903,Action,Adventure,Science Fiction,civilization,natural disaster,end of the world
27,1,0,0,0,Jupiter Ascending,http://www.jupiterascending.com,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…",85.36908,United States of America,2015-02-04,183987723,124.0,English,5.2,2768,Science Fiction,Fantasy,Action,jupiter,space,woman director
28,0,0,1,0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",67.391328,United Kingdom,2005-12-07,748806957,143.0,English,6.7,2629,Adventure,Family,Fantasy,saving the world,witch,based on novel
29,0,0,1,0,X-Men: Apocalypse,http://www.foxmovies.com/movies/x-men-apocalypse,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",139.272042,United States of America,2016-05-18,543934787,144.0,English,6.4,4721,Science Fiction,,,mutant,supernatural powers,marvel comic
30,0,0,1,0,Up,http://disney.go.com/disneypictures/up/,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",92.201962,United States of America,2009-05-13,735099082,96.0,English,7.7,6870,Animation,Comedy,Family,age difference,central and south america,balloon
31,1,0,0,0,Hugo,http://www.hugomovie.com/,"Hugo is an orphan boy living in the walls of a train station in 1930s Paris. He learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running. The only thing that he has left that connects him to his dead father is an automaton (mechanical man) that doesn't work without a special key which Hugo needs to find to unlock the secret he believes it contains. On his adventures, he meets with a shopkeeper, George Melies, who works in the train station and his adventure-seeking god-daughter. Hugo finds that they have a surprising connection to his father and the automaton, and he discovers it unlocks some memories the old man has buried inside regarding his past.",32.319043,France,2011-11-22,185770160,126.0,English,7.0,2141,Adventure,Drama,Family,library,clock,film director
32,1,0,0,0,Wild Wild West,,Legless Southern inventor Dr. Arliss Loveless plans to rekindle the Civil War by assassinating President U.S. Grant. Only two men can stop him: gunfighter James West and master-of-disguise and inventor Artemus Gordon. The two must team up to thwart Loveless' plans.,40.748915,United States of America,1999-06-29,222104681,106.0,English,5.1,1020,Action,Adventure,Comedy,steampunk,based on tv series,steam locomotive
33,1,1,0,0,Evan Almighty,http://www.evanalmighty.com/,God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood.,27.082182,United States of America,2007-06-09,173000000,96.0,English,5.3,1151,Fantasy,Comedy,Family,father son relationship,daily life,married couple
34,0,1,1,0,Inside Out,http://movies.disney.com/inside-out,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",128.655964,United States of America,2015-06-09,857611174,94.0,English,8.0,6560,Drama,Comedy,Animation,dream,cartoon,imaginary friend
35,0,0,1,0,The Jungle Book,http://movies.disney.com/the-jungle-book-2016,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo.",94.199316,United Kingdom,2016-04-07,966550600,106.0,English,6.7,2892,Family,Adventure,Drama,based on novel,snake,wolf
36,0,0,1,0,Maleficent,http://movies.disney.com/maleficent,"The untold story of Disney's most iconic villain from the 1959 classic 'Sleeping Beauty'. A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land.  Maleficent rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal – an act that begins to turn her heart into stone. Bent on revenge, Maleficent faces an epic battle with the invading King's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom - and to Maleficent's true happiness as well.",110.620647,United States of America,2014-05-28,758539785,97.0,English,7.0,4496,Fantasy,Adventure,Action,fairy tale,villain,sleeping beauty
37,1,0,0,0,The Lovers,,"The Lovers is an epic romance time travel adventure film. Helmed by Roland Joffé from a story by Ajey Jhankar, the film is a sweeping tale of an impossible love set against the backdrop of the first Anglo-Maratha war across two time periods and continents and centred around four characters — a British officer in 18th century colonial India, the Indian woman he falls deeply in love with, an American present-day marine biologist and his wife.",2.418535,Australia,2015-02-13,0,109.0,English,4.8,34,Action,Adventure,Science Fiction,,,
38,0,0,1,0,Tomorrowland,http://movies.disney.com/tomorrowland,"Bound by a shared destiny, a bright, optimistic teen bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to unearth the secrets of an enigmatic place somewhere in time and space that exists in their collective memory as ""Tomorrowland.""",130.311355,United States of America,2015-05-19,209154322,130.0,English,6.2,2846,Adventure,Family,Mystery,inventor,apocalypse,destiny
39,0,0,1,0,Big Hero 6,http://movies.disney.com/big-hero-6,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",203.73459,United States of America,2014-10-24,652105443,102.0,English,7.8,6135,Adventure,Family,Animation,brother brother relationship,hero,talent
40,0,0,1,0,Wreck-It Ralph,http://disney.go.com/wreck-it-ralph,"Wreck-It Ralph is the 9-foot-tall, 643-pound villain of an arcade video game named Fix-It Felix Jr., in which the game's titular hero fixes buildings that Ralph destroys. Wanting to prove he can be a good guy and not just a villain, Ralph escapes his game and lands in Hero's Duty, a first-person shooter where he helps the game's hero battle against alien invaders. He later enters Sugar Rush, a kart racing game set on tracks made of candies, cookies and other sweets. There, Ralph meets Vanellope von Schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade, and one that Ralph may have inadvertently started.",62.341073,United States of America,2012-11-01,471222889,108.0,English,7.1,4570,Family,Animation,Comedy,support group,product placement,bullying
41,1,0,0,0,The Polar Express,,"When a doubting young boy takes an extraordinary train ride to the North Pole, he embarks on a journey of self-discovery that shows him that the wonder of life never fades for those who believe.",47.323228,United States of America,2004-11-10,305875730,100.0,English,6.4,1474,Adventure,Animation,Family,santa claus,nerd,faith
42,1,0,0,0,Terminator 3: Rise of the Machines,,"It's been 10 years since John Connor saved Earth from Judgment Day, and he's now living under the radar, steering clear of using anything Skynet can trace. That is, until he encounters T-X, a robotic assassin ordered to finish what T-1000 started. Good thing Connor's former nemesis, the Terminator, is back to aid the now-adult Connor … just like he promised.",69.405188,Germany,2003-07-02,435000000,109.0,English,5.9,2143,Action,Thriller,Science Fiction,saving the world,artificial intelligence,man vs machine
43,1,0,0,0,Inception,http://inceptionmovie.warnerbros.com/,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",167.58371,United Kingdom,2010-07-14,825532764,148.0,English,8.1,13752,Action,Thriller,Science Fiction,loss of lover,dream,kidnapping
44,0,0,1,0,X-Men: First Class,http://www.x-menfirstclassmovie.com/,"Before Charles Xavier and Erik Lensherr took the names Professor X and Magneto, they were two young men discovering their powers for the first time. Before they were arch-enemies, they were closest of friends, working together with other mutants (some familiar, some new), to stop the greatest threat the world has ever known.",3.195174,United States of America,2011-05-24,353624124,132.0,Deutsch,7.1,5181,Action,Science Fiction,Adventure,cia,mutant,mine
45,0,0,1,0,The Sorcerer's Apprentice,http://disney.go.com/disneypictures/sorcerersapprentice/,"Balthazar Blake is a master sorcerer in modern-day Manhattan trying to defend the city from his arch-nemesis, Maxim Horvath. Balthazar can't do it alone, so he recruits Dave Stutler, a seemingly average guy who demonstrates hidden potential, as his reluctant protégé. The sorcerer gives his unwilling accomplice a crash course in the art and science of magic, and together, these unlikely partners work to stop the forces of darkness.",35.580815,United States of America,2010-07-13,215283742,109.0,English,5.8,1470,Fantasy,Adventure,Action,witch,fire,wolf
46,1,0,0,0,Poseidon,http://www2.warnerbros.com/poseidon/,"A packed cruise ship traveling the Atlantic is hit and overturned by a massive wave, compelling the passengers to begin a dramatic fight for their lives.",21.133748,United States of America,2006-05-12,181674817,99.0,English,5.5,583,Adventure,Action,Drama,new year's eve,fire,drowning
47,0,0,1,0,Alice Through the Looking Glass,http://movies.disney.com/alice-through-the-looking-glass,"In the sequel to Tim Burton's ""Alice in Wonderland"", Alice Kingsleigh returns to Underland and faces a new adventure in saving the Mad Hatter.",56.268916,United Kingdom,2016-05-25,299370084,113.0,English,6.5,1725,Fantasy,,,based on novel,clock,queen
48,1,0,0,0,Charlie and the Chocolate Factory,https://www.warnerbros.com/charlie-and-chocolate-factory,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",53.905592,Australia,2005-07-13,474968763,115.0,English,6.7,3624,Adventure,Comedy,Family,london england,father son relationship,chocolate
49,0,0,1,0,Ratatouille,http://disney.go.com/disneypictures/ratatouille/,"A rat named Remy dreams of becoming a great French chef despite his family's wishes and the obvious problem of being a rat in a decidedly rodent-phobic profession. When fate places Remy in the sewers of Paris, he finds himself ideally situated beneath a restaurant made famous by his culinary hero, Auguste Gusteau. Despite the apparent dangers of being an unlikely - and certainly unwanted - visitor in the kitchen of a fine French restaurant, Remy's passion for cooking soon sets into motion a hilarious and exciting rat race that turns the culinary world of Paris upside down.",65.677399,United States of America,2007-06-22,623722818,111.0,English,7.5,4369,Animation,Comedy,Family,paris,brother brother relationship,expensive restaurant
50,1,0,0,0,Madagascar: Escape 2 Africa,http://www.madagascar-themovie.com,"Alex, Marty, Melman, Gloria, King Julien, Maurice, the penguins and the chimps are back and still marooned on Madagascar. In the face of this obstacle, the New Yorkers have hatched a plan so crazy it just might work. With military precision, the penguins have repaired an old crashed plane... sort of.",44.141021,United States of America,2008-10-30,603900354,89.0,English,6.2,1810,Family,Animation,,africa,jealousy,dance
51,0,0,1,0,Night at the Museum: Battle of the Smithsonian,http://www.nightatthemuseummovie.com,"Hapless museum night watchman Larry Daley must help his living, breathing exhibit friends out of a pickle now that they've been transferred to the archives at the Smithsonian Institution. Larry's (mis)adventures this time include close encounters with Amelia Earhart, Abe Lincoln and Ivan the Terrible.",81.781591,United States of America,2009-05-20,413106170,105.0,English,5.9,1971,Adventure,Fantasy,Action,museum,theodore roosevelt,duringcreditsstinger
52,0,0,1,0,X-Men Origins: Wolverine,http://www.x-menorigins.com/,"After seeking to live a normal life, Logan sets out to avenge the death of his girlfriend by undergoing the mutant Weapon X program and becoming Wolverine.",5.954334,United States of America,2009-04-28,373062864,107.0,English,6.2,4021,Adventure,Action,Thriller,corruption,mutant,boxer
53,1,0,0,0,The Matrix Revolutions,,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,73.313918,United States of America,2003-11-05,424988211,129.0,English,6.4,3096,Adventure,Action,Thriller,saving the world,artificial intelligence,man vs machine
54,0,0,1,0,Frozen,http://movies.disney.com/frozen,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",165.125366,United States of America,2013-11-27,1274219009,102.0,English,7.3,5295,Animation,Adventure,Family,queen,musical,princess
55,1,0,0,0,The Matrix Reloaded,,"Six months after the events depicted in The Matrix, Neo has proved to be a good omen for the free humans, as more and more humans are being freed from the matrix and brought to Zion, the one and only stronghold of the Resistance.  Neo himself has discovered his superpowers including super speed, ability to see the codes of the things inside the matrix and a certain degree of pre-cognition. But a nasty piece of news hits the human resistance: 250,000 machine sentinels are digging to Zion and would reach them in 72 hours. As Zion prepares for the ultimate war, Neo, Morpheus and Trinity are advised by the Oracle to find the Keymaker who would help them reach the Source.  Meanwhile Neo's recurrent dreams depicting Trinity's death have got him worried and as if it was not enough, Agent Smith has somehow escaped deletion, has become more powerful than before and has fixed Neo as his next target.",70.78591,Australia,2003-05-15,738599701,138.0,English,6.7,3443,Adventure,Action,Thriller,saving the world,artificial intelligence,man vs machine
56,1,0,0,1,Angels & Demons,http://www.angelsanddemons.com/,"Harvard symbologist Robert Langdon investigates a mysterious symbol seared into the chest of a murdered physicist. He discovers evidence of the unimaginable, the rebirth of an ancient secret brotherhood known as the Illuminati, the most powerful underground organization ever to walk the earth.",67.447636,Italy,2009-05-13,356613439,138.0,English,6.5,2129,Thriller,Mystery,,rome,vatican,based on novel
57,1,0,1,0,Bolt,http://movies.disney.com/bolt,"Bolt is the star of the biggest show in Hollywood. The only problem is, he thinks it's real. After he's accidentally shipped to New York City and separated from Penny, his beloved co-star and owner, Bolt must harness all his ""super powers"" to find a way home.",41.845878,United States of America,2008-11-21,309979994,98.0,English,6.3,1750,Animation,Family,Adventure,hamster,kids and family,animal
58,1,0,1,0,G-Force,http://disney.go.com/disneypictures/gforce/,"A team of trained secret agent animals, guinea pigs Darwin, Juarez, Blaster, mole Speckles, and fly Mooch takes on a mission for the US government to stop evil Leonard Saber, who plans to destroy the world with household appliances. But the government shuts them down and they are sentenced to a pet shop. Can they escape to defeat the villain and save the world?",26.710398,United States of America,2009-07-21,292817841,88.0,English,5.1,510,Fantasy,Action,Adventure,dyr,duringcreditsstinger,
59,1,0,0,0,Bee Movie,http://www.beemovie.com/,"Barry B. Benson, a bee who has just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship blossoms, he discovers humans actually eat honey, and subsequently decides to sue us.",29.332905,United States of America,2007-10-28,287594577,91.0,English,5.7,1171,Family,Animation,Adventure,factory worker,tennis,flower
60,1,0,0,0,Kung Fu Panda 2,http://www.kungfupanda.com/,"Po is now living his dream as The Dragon Warrior, protecting the Valley of Peace alongside his friends and fellow kung fu masters, The Furious Five - Tigress, Crane, Mantis, Viper and Monkey. But Po’s new life of awesomeness is threatened by the emergence of a formidable villain, who plans to use a secret, unstoppable weapon to conquer China and destroy kung fu. It is up to Po and The Furious Five to journey across China to face this threat and vanquish it. But how can Po stop a weapon that can stop kung fu? He must look to his past and uncover the secrets of his mysterious origins; only then will he be able to unlock the strength he needs to succeed.",51.247321,United States of America,2011-05-25,665692281,91.0,English,6.7,1880,Animation,Family,,martial arts,hope,fleet
61,1,0,0,0,The Last Airbender,http://www.thelastairbendermovie.com/,"The story follows the adventures of Aang, a young successor to a long line of Avatars, who must put his childhood ways aside and stop the Fire Nation from enslaving the Water, Earth and Air nations.",33.769336,United States of America,2010-06-30,318502923,103.0,English,4.7,1151,Action,Adventure,Family,fire,ice,war ship
62,0,0,1,0,Mars Needs Moms,http://disney.go.com/disneypictures/marsneedsmoms/#home,"When Martians suddenly abduct his mom, mischievous Milo rushes to the rescue and discovers why all moms are so special.",12.362599,United States of America,2011-03-09,38992758,88.0,English,5.5,199,Adventure,Animation,Family,boy,alien,rescue
63,0,0,0,1,Pan,,"Living a bleak existence at a London orphanage, 12-year-old Peter finds himself whisked away to the fantastical world of Neverland. Adventure awaits as he meets new friend James Hook and the warrior Tiger Lily. They must band together to save Neverland from the ruthless pirate Blackbeard. Along the way, the rebellious and mischievous boy discovers his true destiny, becoming the hero forever known as Peter Pan.",48.03528,United States of America,2015-09-24,128388320,111.0,English,5.9,954,Adventure,Family,Fantasy,flying,magic,fairy tale
64,1,0,0,0,Mr. Peabody & Sherman,,"A young boy and his dog, who happens to have a genius-level IQ, spring into action when their time-travel machine is stolen and moments in history begin to be changed.",38.73494,United States of America,2014-02-07,272912430,92.0,English,6.7,843,Animation,Adventure,Family,father son relationship,egypt,intelligence
