,mid,original_title,homepage,overview,popularity,production_countries,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,genres_1,genres_2,genres_3,keywords_1,keywords_2,keywords_3
186,186,Last Action Hero,,"Danny is obsessed with a fictional movie character action hero Jack Slater. When a magical ticket transports him into Jack's latest adventure, Danny finds himself in a world where movie magic and reality collide. Now it's up to Danny to save the life of his hero and new friend.",32.044191,United States of America,1993-06-18,137298489,130.0,English,6.1,712,Adventure,Fantasy,Action,magic,movie in movie,spoof
206,206,Eagle Eye,,"Jerry Shaw and Rachel Holloman are two strangers whose lives are suddenly thrown into turmoil by a mysterious woman they have never met. Threatening their lives and family, the unseen caller uses everyday technology to control their actions and push them into increasing danger. As events escalate, Jerry and Rachel become the country's most-wanted fugitives and must figure out what is happening to them.",46.887983,United States of America,2008-09-25,178066569,118.0,English,6.3,1018,Mystery,Thriller,Action,artificial intelligence,washington d.c.,secret identity
227,227,The Little Prince,http://www.thelittleprincemovie.com/,"Based on the best-seller book 'The Little Prince', the movie tells the story of a little girl that lives with resignation in a world where efficiency and work are the only dogmas. Everything will change when accidentally she discovers her neighbor that will tell her about the story of the Little Prince that he once met.",35.384423,France,2015-07-29,97571250,92.0,English,7.6,756,Adventure,Animation,Fantasy,philosophy,utopia,airplane
233,233,Exorcist: The Beginning,,"Having lived through traumatizing events during WWII, Father Lankester Merrin takes a sabbatical from the Church to conduct archaeological excavations in British-administered East Africa. Merrin unearths an ancient Byzantine church believed have been built and then immediately buried to keep down evil from the crypt below. The natives are convinced that uncovering the church has unleashed a demon, and begin to violently clash with the British military troops. As the village rapidly disintegrates into chaos and war, Merrin must face-off with the demon which has taken possession of somebody close to him.",15.761384,United States of America,2004-08-20,78000586,114.0,English,4.7,183,Horror,Mystery,Thriller,secret,obsession,exorcism
239,239,Killers,http://killersfilm.com/,"When an elite assassin marries a beautiful computer whiz after a whirlwind romance, he gives up the gun and settles down with his new bride. That is, until he learns that someone from his past has put a contract out on his life.",23.004607,United States of America,2010-06-04,98159963,100.0,English,5.7,772,Action,Comedy,Thriller,assassin,,
242,242,Hostage,,"When a mafia accountant is taken hostage on his beat, a police officer – wracked by guilt from a prior stint as a negotiator – must negotiate the standoff, even as his own family is held captive by the mob.",23.663713,Germany,2005-03-09,77944725,113.0,English,6.2,512,Mystery,Drama,Thriller,fbi,kidnapping,police operation
244,244,Carriers,,"Four friends fleeing a viral pandemic soon learn they are more dangerous than any virus.A deadly virus has spread across the globe. Contagion is everywhere, no one is safe and no one can be trusted. Four young attractive people race through the back roads of the American West to the pounding beat of a vacation soundtrack. Their aim is to retreat to secluded utopian beach in the Gulf of Mexico, where they could peacefully wait out the pandemic and survive the apocalyptic disease. Their plans take a grim turn when their car breaks down on an isolated road starting a chain of events that will seal the fate of each of them in an inexorable and horrifying voyage of hell through a western landscape populated by only the hideous dead or the twisted living.",12.708963,United States of America,2009-09-04,5802422,84.0,English,5.8,282,Action,Drama,Horror,beach,desperation,infection
245,245,Sucker Punch,http://suckerpunchmovie.warnerbros.com,"A young girl is institutionalized by her abusive stepfather. Retreating to an alternative reality as a coping strategy, she envisions a plan which will help her escape from the mental facility.",39.127082,United States of America,2011-03-24,89792502,110.0,English,5.9,1623,Action,Fantasy,Thriller,brothel,fantasy,asylum
262,262,Bad Company,,"When a Harvard-educated CIA agent is killed during an operation, the secret agency recruits his twin brother.",14.086292,United States of America,2002-06-07,65977295,116.0,English,5.4,228,Action,Adventure,Comedy,ambush,cia,assassin
275,275,Apollo 13,,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",68.140214,United States of America,1995-06-30,355237933,140.0,English,7.3,1599,Drama,,,moon,florida,nasa
277,277,Les Misérables,http://www.lesmiserablesfilm.com,"An adaptation of the successful stage musical based on Victor Hugo's classic novel set in 19th-century France, in which a paroled prisoner named Jean Valjean seeks redemption.",48.356214,United Kingdom,2012-12-18,441809770,157.0,English,7.1,1884,Drama,Music,Romance,france,robbery,brothel
285,285,World Trade Center,,"On September, 11th 2001, after the terrorist attack to the World Trade Center, the building collapses over the rescue team from the Port Authority Police Department. Will Jimeno and his sergeant John McLoughlin are found alive trapped under the wreckage while the rescue teams fight to save them.",24.697533,United States of America,2006-08-09,162945894,128.0,English,5.9,447,Drama,History,Thriller,terror,runaway,alarm clock
291,291,Resident Evil: Retribution,http://www.residentevil-movie.com/site/,"The Umbrella Corporation’s deadly T-virus continues to ravage the Earth, transforming the global population into legions of the flesh eating Undead. The human race’s last and only hope, Alice, awakens in the heart of Umbrella’s most clandestine operations facility and unveils more of her mysterious past as she delves further into the complex. Without a safe haven, Alice continues to hunt those responsible for the outbreak; a chase that takes her from Tokyo to New York, Washington, D.C. and Moscow, culminating in a mind-blowing revelation that will force her to rethink everything that she once thought to be true. Aided by new found allies and familiar friends, Alice must fight to survive long enough to escape a hostile world on the brink of oblivion. The countdown has begun.",6.227675,Canada,2012-09-12,240159255,95.0,English,5.6,1600,Action,Horror,Science Fiction,mutant,dystopia,sequel
292,292,Oliver Twist,http://www.olivertwistthemovie.co.uk/,"Oliver Twist the modern filmed version of Charles Dickens bestseller, a Roman Polanski adaptation. The classic Dickens tale, where an orphan meets a pickpocket on the streets of London. From there, he joins a household of boys who are trained to steal for their master.",20.415572,Czech Republic,2005-09-23,42093706,130.0,English,6.7,274,Crime,Drama,Family,london england,child abuse,street gang
293,293,Elektra,http://marvel.com/movies/movie/13/elektra,"Elektra the warrior survives a near-death experience, becomes an assassin-for-hire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins.",28.613892,Canada,2005-01-13,56681566,97.0,English,4.8,575,Action,Fantasy,,martial arts,based on comic book,female assassin
294,294,Perfume: The Story of a Murderer,http://www.parfum.film.de/,"Jean-Baptiste Grenouille, born in the stench of 18th century Paris, develops a superior olfactory sense, which he uses to create the world's finest perfumes. However, his work takes a dark turn as he tries to preserve scents in the search for the ultimate perfume.",42.551902,Spain,2006-09-13,132180323,147.0,English,7.1,1165,Crime,Fantasy,Drama,paris,female nudity,prostitute
302,302,Marley & Me,http://marleyandmemovie.com/,"A newly married couple who, in the process of starting a family, learn many of life's important lessons from their trouble-loving retriever, Marley. Packed with plenty of laughs to lighten the load, the film explores the highs and lows of marriage, maturity and confronting one's own mortality, as seen through the lens of family life with a dog.",30.951203,United States of America,2008-12-25,244082376,115.0,English,6.9,1343,Comedy,Family,,journalist,based on novel,puppy
305,305,GoldenEye,http://www.mgm.com/view/movie/757/Goldeneye/,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,59.824565,United Kingdom,1995-11-16,352194034,130.0,English,6.6,1174,Adventure,Action,Thriller,cuba,falsely accused,secret identity
318,318,Jack Ryan: Shadow Recruit,,"Jack Ryan, as a young covert CIA analyst, uncovers a Russian plot to crash the U.S. economy with a terrorist attack.",42.538258,Russia,2014-01-15,50549107,105.0,English,5.9,1173,Action,Drama,Thriller,london england,corruption,cia
322,322,Duplicity,http://www.universalstudiosentertainment.com/duplicity/,Two romantically-engaged corporate spies team up to manipulate a corporate race to corner the market on a medical innovation that will reap huge profits and enable them to lead an extravagant lifestyle together.,13.630049,Germany,2009-03-19,60000000,125.0,English,5.7,201,Romance,Comedy,Crime,spy,,
328,328,The Legend of Bagger Vance,,"World War I has left golfer Rannulph Junuh a poker-playing alcoholic, his perfect swing gone. Now, however, he needs to get it back to play in a tournament to save the financially ravaged golf course of a long-ago sweetheart. Help arrives in the form of mysterious caddy Bagger Vance.",16.848899,United States of America,2000-11-02,39459427,126.0,English,6.3,251,Fantasy,Drama,,competition,world war i,great depression
329,329,Almost Famous,,"Almost Famous is an autobiographical inspired film about a 15-year-old who is hired by Rolling Stone magazine to follow and interview a rock band during their tour. A film about growing up, first love, disappointment, and the life of a rock star.",21.547446,United States of America,2000-09-15,47383689,122.0,English,7.4,797,Drama,Music,,hotel room,san diego,drug addiction
331,331,Priest,http://www.priest-themovie.com/,"In an alternate world, humanity and vampires have warred for centuries. After the last Vampire War, the veteran Warrior Priest lives in obscurity with other humans inside one of the Church's walled cities. When the Priest's niece is kidnapped by vampires, the Priest breaks his vows to hunt them down. He is accompanied by the niece's boyfriend, who is a wasteland sheriff, and a former Warrior Priestess.",28.350927,United States of America,2011-05-05,78309131,87.0,Português,5.4,692,Action,Science Fiction,Fantasy,vampire,crucifixion,post-apocalyptic
349,349,Date Night,http://www.datenight-movie.com/,"Phil and Claire Foster fear that their mild-mannered relationship may be falling into a stale rut. During their weekly date night, their dinner reservation leads to their being mistaken for a couple of thieves – and now a number of unsavoury characters want Phil and Claire killed.",38.06168,United States of America,2010-04-08,152263880,97.0,עִבְרִית,5.9,1122,Comedy,,,date,corruption,taxi
357,357,The Hunted,,"In the wilderness of British Columbia, two hunters are tracked and viciously murdered by Aaron Hallum. Former Special Operations instructor, L.T. Bonham is approached and asked to apprehend Hallum, his former student, who has 'gone rogue' after suffering severe battle stress from his time in Kosovo.",8.634954,United States of America,2003-03-11,34234008,94.0,English,6.0,189,Drama,Action,Thriller,hunter,fbi,knife
366,366,Domestic Disturbance,,A divorced father discovers that his 12-year-old son's new stepfather is not what he made himself out to be.,8.41856,United States of America,2001-10-30,54249294,89.0,English,5.4,113,Mystery,Thriller,Crime,menace,adoption,dangerous
367,367,Catch Me If You Can,https://www.facebook.com/CatchMeIfYouCanMovie,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",73.944049,United States of America,2002-12-25,352114312,141.0,English,7.7,3795,Drama,Crime,,con man,biography,fbi agent
379,379,Payback,,"With friends like these, who needs enemies? That's the question bad guy Porter is left asking after his wife and partner steal his heist money and leave him for dead -- or so they think. Five months and an endless reservoir of bitterness later, Porter's partners and the crooked cops on his tail learn how bad payback can be.",17.457947,United States of America,1999-02-05,161626121,100.0,English,6.7,548,Drama,Action,Thriller,new york,heroin,money
386,386,Shanghai Knights,,"The dynamic duo of Chon Wang and Roy O'Bannon return for another crazy adventure. This time, they're in London to avenge the murder of Chon's father, but end up on an even bigger case. Chon's sister is there to do the same, but instead unearths a plot to kill the royal family. No one believes her, though, and it's up to Chon and Roy (who has romance on his mind) to prove her right.",16.251204,Hong Kong,2003-02-06,88323487,115.0,English,6.0,692,Action,Adventure,Comedy,london england,indian territory,emperor
390,390,The Game,,"In honor of his birthday, San Francisco banker Nicholas Van Orton, a financial genius and a coldhearted loner, receives an unusual present from his younger brother, Conrad -- a gift certificate to play a unique kind of game. In nearly a nanosecond, Nicholas finds himself consumed by a dangerous set of ever-changing rules, unable to distinguish where the charade ends and reality begins.",62.925175,United States of America,1997-09-12,109423648,129.0,广州话 / 廣州話,7.5,1506,Drama,Thriller,Mystery,brother brother relationship,birthday,danger of life
391,391,The Negotiator,,"The police try to arrest expert hostage negotiator Danny Roman, who insists he's being framed for his partner's murder in what he believes is an elaborate conspiracy. Thinking there's evidence in the Internal Affairs offices that might clear him, he takes everyone in the office hostage and demands that another well-known negotiator be brought in to handle the situation and secretly investigate the conspiracy.",28.725621,Germany,1998-07-29,44547681,140.0,English,6.8,582,Action,Adventure,Crime,corruption,hostage,pension
392,392,The Judge,http://thejudgemovie.com/,"A successful lawyer returns to his hometown for his mother's funeral only to discover that his estranged father, the town's judge, is suspected of murder.",42.472324,United States of America,2014-10-08,83719388,141.0,English,7.2,1417,Drama,,,father son relationship,judge,lawyer
395,395,Out of Time,,"Matt Lee Whitlock, respected chief of police in small Banyan Key, Florida, must solve a vicious double homicide before he himself falls under suspicion. Matt Lee has to stay a few steps ahead of his own police force and everyone he's trusted in order to find out the truth.",14.993459,United States of America,2003-10-03,55495563,105.0,English,6.1,298,Thriller,Crime,Drama,miami,florida,double murder
399,399,The Host,,"A parasitic alien soul is injected into the body of Melanie Stryder. Instead of carrying out her race's mission of taking over the Earth, ""Wanda"" (as she comes to be called) forms a bond with her host and sets out to aid other free humans.",42.933027,United States of America,2013-03-22,63327201,125.0,English,6.0,1817,Action,Adventure,Romance,based on novel,mass murder,dystopia
400,400,The Life Aquatic with Steve Zissou,,Wes Anderson’s incisive quirky comedy build up stars complex characters like in ‘The Royal Tenenbaums’ with Bill Murray on in the leading role. An ocean adventure documentary film maker Zissou is put in all imaginable life situations and a tough life crisis as he attempts to make a new film about capturing the creature that caused him pain.,25.237969,United States of America,2004-12-10,34808403,119.0,English,7.1,775,Adventure,Comedy,Drama,ocean,film making,loss of mother
404,404,Joan of Arc,,In 1429 a teenage girl from a remote French village stood before her King with a message she claimed came from God; that she would defeat the world's greatest army and liberate her country from its political and religious turmoil. Following her mission to reclaim god's dimished kingdom - through her amazing victories until her violent and untimely death.,21.084542,France,1999-10-18,66976317,148.0,English,6.2,367,Adventure,Drama,Action,schizophrenia,france,rape
406,406,Domino,,"The daughter of actor, Laurence Harvey turns away from her career as a Ford model to become a bounty hunter.",18.394571,France,2005-09-22,22944502,127.0,English,6.0,444,Action,Crime,,bounty hunter,fbi,weapon
407,407,Jade,,"Someone does a nasty hatchet job on a San Fransisco big noise and the Assistant D.A. takes charge of the investigation. Through a web of blackmail and prostitution involving the Governor, an old lover of the law man emerges as a prime suspect and he has to deal with his personal feelings as well as the case.",8.189406,United States of America,1995-10-13,9851610,95.0,English,5.2,44,Action,Thriller,Mystery,callgirl,san francisco,investigation
408,408,Traffic,,"An exploration of the United States of America's war on drugs from multiple perspectives. For the new head of the Office of National Drug Control Policy, the war becomes personal when he discovers his well-educated daughter is abusing cocaine within their comfortable suburban home. In Mexico, a flawed, but noble policeman agrees to testify against a powerful general in league with a cartel, and in San Diego, a drug kingpin's sheltered trophy wife must learn her husband's ruthless business after he is arrested, endangering her luxurious lifestyle.",25.170217,Germany,2000-12-27,207515725,147.0,Español,6.9,562,Thriller,Drama,Crime,usa,war on drugs,drug traffic
420,420,Patriot Games,,"When CIA Analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets Jack and his family as revenge.",19.637704,United States of America,1992-06-04,178051587,117.0,English,6.3,433,Drama,Action,Thriller,assassination,assassin,repayment
429,429,Kicking & Screaming,,"Phil Weston has been unathletic his entire life. In college he failed at every sport that he tried out for. It looks like his 10-year old son, Sam, is following in his footsteps. But with becoming the coach of The Soccers, an already successful soccer team, everything changes.",8.99269,United States of America,2005-05-13,56070433,95.0,English,5.6,176,Romance,Comedy,Family,father son relationship,generations confilct,sport
437,437,The Phantom,,The 21st successor to the role of Bengalla's resident superhero must travel to New York to prevent a rich madman from obtaining three magic skulls that would give him the secret to ultimate power.,9.025236,Australia,1996-06-06,17300889,100.0,English,4.7,136,Adventure,Action,,secret identity,gold,gangster boss
444,444,The Firm,,"Mitch McDeere is a young man with a promising future in Law. About to sit his Bar exam, he is approached by 'The Firm' and made an offer he doesn't refuse. Seduced by the money and gifts showered on him, he is totally oblivious to the more sinister side of his company. Then, two Associates are murdered. The FBI contact him, asking him for information and suddenly his life is ruined. He has a choice - work with the FBI, or stay with the Firm. Either way he will lose his life as he knows it. Mitch figures the only way out is to follow his own plan...",23.736535,United States of America,1993-06-30,270248367,154.0,English,6.6,501,Drama,Mystery,Thriller,fbi,law,tennessee
450,450,Lucy,http://lucymovie.com/,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",115.241998,France,2014-07-14,126546825,89.0,普通话,6.3,5878,Action,Science Fiction,,artificial intelligence,telepathy,intelligence
452,452,The Social Network,http://www.thesocialnetwork-movie.com/,"On a fall night in 2003, Harvard undergrad and computer programming genius Mark Zuckerberg sits down at his computer and heatedly begins working on a new idea. In a fury of blogging and programming, what begins in his dorm room as a small site among friends soon becomes a global social network and a revolution in communication. A mere six years and 500 million friends later, Mark Zuckerberg is the youngest billionaire in history... but for this entrepreneur, success leads to both personal and legal complications.",69.27822,United States of America,2010-09-30,224920315,120.0,English,7.1,3391,Drama,,,hacker,hacking,creator
463,463,Small Soldiers,,"When missile technology is used to enhance toy action figures, the toys soon begin to take their battle programming too seriously.",23.088571,United States of America,1998-07-10,54682547,110.0,English,6.2,511,Comedy,Adventure,Fantasy,defense industry,toy shop,technical toy
464,464,The Count of Monte Cristo,,"Edmond Dantés's life and plans to marry the beautiful Mercedes are shattered when his best friend, Fernand, deceives him. After spending 13 miserable years in prison, Dantés escapes with the help of a fellow inmate and plots his revenge, cleverly insinuating himself into the French nobility.",26.595983,United States of America,2002-01-23,75395048,131.0,English,7.3,453,Action,Adventure,Drama,loss of lover,lover (female),ex-lover
468,468,Secret Window,,"Mort Rainey, a writer just emerging from a painful divorce with his ex-wife, is stalked at his remote lake house by a psychotic stranger and would-be scribe who claims Rainey swiped his best story idea. But as Rainey endeavors to prove his innocence, he begins to question his own sanity.",32.908414,United States of America,2004-03-12,92913171,96.0,English,6.4,972,Thriller,Mystery,,alcohol,adultery,detective
476,476,Fever Pitch,,"When relaxed and charming Ben Wrightman meets workaholic Lindsey Meeks she finds him sweet and charming, they hit it off and when it is winter Ben can spend every waking hour with Lindsey, but when summer comes around the corner Lindsey discovers Ben's obsession with the Boston Red Sox. She thinks it is perfect until everything goes downhill for them.",9.965073,Germany,2005-04-06,50451307,103.0,English,5.9,182,Comedy,Drama,Romance,baseball,fanatic,relationship problems
477,477,The Shadow,,"Based on the 1930's comic strip, puts the hero up against his arch enemy, Shiwan Khan, who plans to take over the world by holding a city to ransom using an atom bomb. Using his powers of invisibility and ""The power to cloud men's minds"", the Shadow comes blazing to the city's rescue with explosive results.",8.178203,United States of America,1994-07-01,48063435,108.0,English,5.4,138,Adventure,Fantasy,Action,new york,atomic bomb,ladykiller
483,483,Cirque du Freak: The Vampire's Assistant,,"Darren Shan is a regular teenage kid. He and his friend Steve find out about a Freak Show coming to town and work hard at trying to find tickets. They do, and together they go to ""Cirque du Freak"" where they see many strange acts including a wolf-man and a bearded lady",16.424807,United States of America,2009-10-23,28169671,109.0,English,5.5,348,Adventure,Fantasy,Action,vampire,spider,wolfman
