,mid,original_title,homepage,overview,popularity,production_countries,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,genres_1,genres_2,genres_3,keywords_1,keywords_2,keywords_3
41,41,The Polar Express,,"When a doubting young boy takes an extraordinary train ride to the North Pole, he embarks on a journey of self-discovery that shows him that the wonder of life never fades for those who believe.",47.323228,United States of America,2004-11-10,305875730,100.0,English,6.4,1474,Adventure,Animation,Family,santa claus,nerd,faith
42,42,Terminator 3: Rise of the Machines,,"It's been 10 years since John Connor saved Earth from Judgment Day, and he's now living under the radar, steering clear of using anything Skynet can trace. That is, until he encounters T-X, a robotic assassin ordered to finish what T-1000 started. Good thing Connor's former nemesis, the Terminator, is back to aid the now-adult Connor … just like he promised.",69.405188,Germany,2003-07-02,435000000,109.0,English,5.9,2143,Action,Thriller,Science Fiction,saving the world,artificial intelligence,man vs machine
43,43,Inception,http://inceptionmovie.warnerbros.com/,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",167.58371,United Kingdom,2010-07-14,825532764,148.0,English,8.1,13752,Action,Thriller,Science Fiction,loss of lover,dream,kidnapping
46,46,Poseidon,http://www2.warnerbros.com/poseidon/,"A packed cruise ship traveling the Atlantic is hit and overturned by a massive wave, compelling the passengers to begin a dramatic fight for their lives.",21.133748,United States of America,2006-05-12,181674817,99.0,English,5.5,583,Adventure,Action,Drama,new year's eve,fire,drowning
48,48,Charlie and the Chocolate Factory,https://www.warnerbros.com/charlie-and-chocolate-factory,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",53.905592,Australia,2005-07-13,474968763,115.0,English,6.7,3624,Adventure,Comedy,Family,london england,father son relationship,chocolate
50,50,Madagascar: Escape 2 Africa,http://www.madagascar-themovie.com,"Alex, Marty, Melman, Gloria, King Julien, Maurice, the penguins and the chimps are back and still marooned on Madagascar. In the face of this obstacle, the New Yorkers have hatched a plan so crazy it just might work. With military precision, the penguins have repaired an old crashed plane... sort of.",44.141021,United States of America,2008-10-30,603900354,89.0,English,6.2,1810,Family,Animation,,africa,jealousy,dance
53,53,The Matrix Revolutions,,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,73.313918,United States of America,2003-11-05,424988211,129.0,English,6.4,3096,Adventure,Action,Thriller,saving the world,artificial intelligence,man vs machine
55,55,The Matrix Reloaded,,"Six months after the events depicted in The Matrix, Neo has proved to be a good omen for the free humans, as more and more humans are being freed from the matrix and brought to Zion, the one and only stronghold of the Resistance.  Neo himself has discovered his superpowers including super speed, ability to see the codes of the things inside the matrix and a certain degree of pre-cognition. But a nasty piece of news hits the human resistance: 250,000 machine sentinels are digging to Zion and would reach them in 72 hours. As Zion prepares for the ultimate war, Neo, Morpheus and Trinity are advised by the Oracle to find the Keymaker who would help them reach the Source.  Meanwhile Neo's recurrent dreams depicting Trinity's death have got him worried and as if it was not enough, Agent Smith has somehow escaped deletion, has become more powerful than before and has fixed Neo as his next target.",70.78591,Australia,2003-05-15,738599701,138.0,English,6.7,3443,Adventure,Action,Thriller,saving the world,artificial intelligence,man vs machine
56,56,Angels & Demons,http://www.angelsanddemons.com/,"Harvard symbologist Robert Langdon investigates a mysterious symbol seared into the chest of a murdered physicist. He discovers evidence of the unimaginable, the rebirth of an ancient secret brotherhood known as the Illuminati, the most powerful underground organization ever to walk the earth.",67.447636,Italy,2009-05-13,356613439,138.0,English,6.5,2129,Thriller,Mystery,,rome,vatican,based on novel
57,57,Bolt,http://movies.disney.com/bolt,"Bolt is the star of the biggest show in Hollywood. The only problem is, he thinks it's real. After he's accidentally shipped to New York City and separated from Penny, his beloved co-star and owner, Bolt must harness all his ""super powers"" to find a way home.",41.845878,United States of America,2008-11-21,309979994,98.0,English,6.3,1750,Animation,Family,Adventure,hamster,kids and family,animal
58,58,G-Force,http://disney.go.com/disneypictures/gforce/,"A team of trained secret agent animals, guinea pigs Darwin, Juarez, Blaster, mole Speckles, and fly Mooch takes on a mission for the US government to stop evil Leonard Saber, who plans to destroy the world with household appliances. But the government shuts them down and they are sentenced to a pet shop. Can they escape to defeat the villain and save the world?",26.710398,United States of America,2009-07-21,292817841,88.0,English,5.1,510,Fantasy,Action,Adventure,dyr,duringcreditsstinger,
59,59,Bee Movie,http://www.beemovie.com/,"Barry B. Benson, a bee who has just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship blossoms, he discovers humans actually eat honey, and subsequently decides to sue us.",29.332905,United States of America,2007-10-28,287594577,91.0,English,5.7,1171,Family,Animation,Adventure,factory worker,tennis,flower
60,60,Kung Fu Panda 2,http://www.kungfupanda.com/,"Po is now living his dream as The Dragon Warrior, protecting the Valley of Peace alongside his friends and fellow kung fu masters, The Furious Five - Tigress, Crane, Mantis, Viper and Monkey. But Po’s new life of awesomeness is threatened by the emergence of a formidable villain, who plans to use a secret, unstoppable weapon to conquer China and destroy kung fu. It is up to Po and The Furious Five to journey across China to face this threat and vanquish it. But how can Po stop a weapon that can stop kung fu? He must look to his past and uncover the secrets of his mysterious origins; only then will he be able to unlock the strength he needs to succeed.",51.247321,United States of America,2011-05-25,665692281,91.0,English,6.7,1880,Animation,Family,,martial arts,hope,fleet
61,61,The Last Airbender,http://www.thelastairbendermovie.com/,"The story follows the adventures of Aang, a young successor to a long line of Avatars, who must put his childhood ways aside and stop the Fire Nation from enslaving the Water, Earth and Air nations.",33.769336,United States of America,2010-06-30,318502923,103.0,English,4.7,1151,Action,Adventure,Family,fire,ice,war ship
64,64,Mr. Peabody & Sherman,,"A young boy and his dog, who happens to have a genius-level IQ, spring into action when their time-travel machine is stolen and moments in history begin to be changed.",38.73494,United States of America,2014-02-07,272912430,92.0,English,6.7,843,Animation,Adventure,Family,father son relationship,egypt,intelligence
65,65,Madagascar 3: Europe's Most Wanted,,"Alex, Marty, Gloria and Melman are still trying to get back to the Big Apple and their beloved Central Park zoo, but first they need to find the penguins. When they travel to Monte Carlo, they attract the attention of Animal Control after gate crashing a party and are joined by the penguins, King Julian and Co., and the monkeys. How do a lion, zebra, hippo, giraffe, four penguins, two monkeys, three lemurs travel through Europe without attracting attention and get back to New York? They join a traveling circus. Their attempts to get back to New York are consistently hampered by the Captain of Animal Control who wants to make Alex part of her collection. Once they make it back to New York Marty, Alex, Gloria and Melman realize that they want to be part of the traveling circus.",44.989192,United States of America,2012-06-06,746921274,93.0,English,6.4,1808,Animation,Family,,madagascar,3d,
66,66,Die Another Day,http://www.mgm.com/view/movie/232/Die-Another-Day/,"Bond takes on a North Korean leader who undergoes DNA replacement procedures that allow him to assume different identities. American agent, Jinx Johnson assists Bond in his attempt to thwart the villain's plans to exploit a satellite that is powered by solar energy.",54.159392,United Kingdom,2002-11-17,431971116,133.0,English,5.8,1092,Adventure,Action,Thriller,laser,british secret service,secret service agent
68,68,Men in Black II,http://www.sonypictures.com/homevideo/meninblackii/,"Kay and Jay reunite to provide our best, last and only line of defense against a sinister seductress who levels the toughest challenge yet to the MIB's untarnished mission statement – protecting Earth from the scum of the universe. It's been four years since the alien-seeking agents averted an intergalactic disaster of epic proportions. Now it's a race against the clock as Jay must convince Kay – who not only has absolutely no memory of his time spent with the MIB, but is also the only living person left with the expertise to save the galaxy – to reunite with the MIB before the earth submits to ultimate destruction.",91.332849,United States of America,2002-07-03,441818803,88.0,English,6.0,3114,Action,Adventure,Comedy,saving the world,secret identity,sun glasses
69,69,Beowulf,http://www.beowulfmovie.com/,"6th-century Scandinavian warrior, Beowulf embarks on a mission to slay the manlike ogre Grendel, a descendant of Cain.",35.601665,United States of America,2007-11-05,195735876,115.0,English,5.5,841,Adventure,Action,Animation,denmark,nordic mythology,lie
71,71,Star Trek,,"The fate of the galaxy rests in the hands of bitter rivals. One, James Kirk, is a delinquent, thrill-seeking Iowa farm boy. The other, Spock, a Vulcan, was raised in a logic-based society that rejects all emotion. As fiery instinct clashes with calm reason, their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger, boldly going where no one has gone before. The human adventure has begun again.",73.616808,Germany,2009-05-06,385680446,127.0,English,7.4,4518,Science Fiction,Action,Adventure,spacecraft,teleportation,space mission
73,73,How to Train Your Dragon 2,http://www.howtotrainyourdragon.com/,"The thrilling second chapter of the epic How To Train Your Dragon trilogy brings back the fantastical world of Hiccup and Toothless five years later. While Astrid, Snotlout and the rest of the gang are challenging each other to dragon races (the island's new favorite contact sport), the now inseparable pair journey through the skies, charting unmapped territories and exploring new worlds. When one of their adventures leads to the discovery of a secret ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",100.21391,United States of America,2014-06-12,609123048,102.0,English,7.6,3106,Fantasy,Action,Adventure,father son relationship,wife husband relationship,sacrifice
76,76,Sahara,,"Scouring the ocean depths for treasure-laden shipwrecks is business as usual for a thrill-seeking underwater adventurer and his wisecracking buddy. But when these two cross paths with a beautiful doctor, they find themselves on the ultimate treasure hunt.",21.605568,Germany,2005-04-06,119269486,124.0,English,5.7,434,Action,Adventure,Comedy,tyrant,ironclad ship,
77,77,The World Is Not Enough,http://www.mgm.com/view/movie/231/The-World-Is-Not-Enough/,"Greed, revenge, world dominance and high-tech terrorism – it's all in a day's work for Bond, who's on a mission to a protect beautiful oil heiress from a notorious terrorist. In a race against time that culminates in a dramatic submarine showdown, Bond works to defuse the international power struggle that has the world's oil supply hanging in the balance.",39.604363,United Kingdom,1999-11-08,361832400,128.0,English,6.0,862,Adventure,Action,Thriller,british,mission,oil
79,79,The BFG,http://movies.disney.com/the-bfg,"The BFG is no ordinary bone-crunching giant. He is far too nice and jumbly. It's lucky for Sophie that he is. Had she been carried off in the middle of the night by the Bloodbottler, or any of the other giants—rather than the BFG—she would have soon become breakfast. When Sophie hears that the giants are flush-bunking off to England to swollomp a few nice little chiddlers, she decides she must stop them once and for all. And the BFG is going to help her!",44.19092,India,2016-06-01,183345589,120.0,English,6.0,1000,Adventure,Family,Fantasy,london england,england,based on novel
80,80,Turbo,http://www.turbomovie.com/,The tale of an ordinary garden snail who dreams of winning the Indy 500.,44.765377,United States of America,2013-07-11,282570682,96.0,English,6.1,1074,Animation,Family,,underdog,car race,dream
81,81,Rango,http://www.rangomovie.com/,"When Rango, a lost family pet, accidentally winds up in the gritty, gun-slinging town of Dirt, the less-than-courageous lizard suddenly finds he stands out. Welcomed as the last hope the town has been waiting for, new Sheriff Rango is forced to play his new role to the hilt.",29.91353,United States of America,2011-03-02,245724603,107.0,English,6.6,2051,Animation,Comedy,Family,sheriff,nevada,pet
82,82,Kung Fu Panda,http://www.kungfupanda.com/,"When the Valley of Peace is threatened, lazy Po the panda discovers his destiny as the ""chosen one"" and trains to become a kung fu hero, but transforming the unsleek slacker into a brave warrior won't be easy. It's up to Master Shifu and the Furious Five -- Tigress, Crane, Mantis, Viper and Monkey -- to give it a try.",84.689648,United States of America,2008-06-04,631744560,90.0,English,6.9,3145,Adventure,Animation,Family,china,martial arts,kung fu
84,84,Home,http://www.meettheboov.com/,"When Earth is taken over by the overly-confident Boov, an alien race in search of a new place to call home, all humans are promptly relocated, while all Boov get busy reorganizing the planet. But when one resourceful girl, Tip, manages to avoid capture, she finds herself the accidental accomplice of a banished Boov named Oh. The two fugitives realize there’s a lot more at stake than intergalactic relations as they embark on the road trip of a lifetime.",63.473086,United States of America,2015-03-18,368871007,94.0,English,6.8,1519,Fantasy,Comedy,Animation,friendship,spaceship,space
85,85,Bad Boys II,,"Out-of-control, trash-talking buddy cops Marcus Burnett and Mike Lowrey of the Miami Narcotics Task Force reunite, and bullets fly, cars crash and laughs explode as they pursue a whacked-out drug lord from the streets of Miami to the barrios of Cuba. But the real fireworks result when Marcus discovers that playboy Mike is secretly romancing Marcus’ sexy sister.",38.068736,United States of America,2003-07-18,273339556,147.0,English,6.3,1564,Adventure,Action,Comedy,miami,ku klux klan,cuba
86,86,Puss in Boots,,"Long before he even met Shrek, the notorious fighter, lover and outlaw Puss in Boots becomes a hero when he sets off on an adventure with the tough and street smart Kitty Softpaws and the mastermind Humpty Dumpty to save his town. This is the true story of The Cat, The Myth, The Legend... The Boots.",20.678787,United States of America,2011-10-28,554987477,90.0,Español,6.4,451,Action,Adventure,Animation,adventure,fairy-tale figure,
87,87,The Adventures of Tintin,http://www.us.movie.tintin.com/,"Intrepid young reporter, Tintin and his loyal dog, Snowy are thrust into a world of high adventure when they discover a ship carrying an explosive secret. As Tintin is drawn into a centuries-old mystery, Ivan Ivanovitch Sakharine suspects him of stealing a priceless treasure. Tintin and Snowy, with the help of salty, cantankerous Captain Haddock and bumbling detectives, Thompson &amp; Thomson, travel half the world, one step ahead of their enemies as Tintin endeavors to find The Unicorn, a sunken ship that may hold a vast fortune, but also an ancient curse.",89.938296,New Zealand,2011-10-25,371940071,107.0,English,6.7,2061,Adventure,Animation,Mystery,riddle,captain,treasure
90,90,The Da Vinci Code,http://www.sonypictures.com/homevideo/thedavincicode/index.html,"When the curator of the Louvre is found murdered in the famed museum's hallowed halls, Harvard professor, Robert Langdon and cryptographer, Sophie Neve must untangle a deadly web of deceit involving the works of Leonardo da Vinci.",45.313197,United States of America,2006-05-17,767820459,149.0,English,6.5,2704,Thriller,Mystery,,paris,holy grail,christianity
92,92,Clash of the Titans,http://www.clash-of-the-titans.com/,"Born of a god but raised as a man, Perseus is helpless to save his family from Hades, vengeful god of the underworld. With nothing to lose, Perseus volunteers to lead a dangerous mission to defeat Hades before he can seize power from Zeus and unleash hell on earth. Battling unholy demons and fearsome beasts, Perseus and his warriors will only survive if Perseus accepts his power as a god, defies fate and creates his own destiny.",47.686442,United States of America,2010-04-01,232713139,106.0,English,5.6,2233,Adventure,Fantasy,Action,hades,mythology,greek mythology
93,93,Total Recall,,"Construction worker Douglas Quaid discovers a memory chip in his brain during a virtual-reality trip. He also finds that his past has been invented to conceal a plot of planetary domination. Soon, he's off to Mars to find out who he is and who planted the chip.",43.129703,United States of America,1990-06-01,261317921,113.0,English,7.1,1710,Action,Adventure,Science Fiction,oxygen,falsely accused,resistance
94,94,How the Grinch Stole Christmas,http://www.grinched.com/,"Inside a snowflake exists the magical land of Whoville. In Whoville, live the Whos, an almost mutated sort of Munchkin-like people. All the Whos love Christmas, yet just outside of their beloved Whoville lives the Grinch. The Grinch is a nasty creature that hates Christmas, and plots to steal it away from the Whos, whom he equally abhors. Yet a small child, Cindy Lou Who, decides to try befriending the Grinch.",45.419668,Germany,2000-11-17,345141403,104.0,English,6.2,1386,Family,Comedy,Fantasy,holiday,christmas party,new love
95,95,Ghost Rider,http://www.sonypictures.com/movies/ghostrider/,"In order to save his dying father, young stunt cyclist, Johnny Blaze sells his soul to Mephistopheles and sadly parts from the pure-hearted, Roxanne Simpson, the love of his life. Years later, Johnny's path crosses again with Roxanne, now a go-getting reporter, and also with Mephistopheles, who offers to release Johnny's soul if Johnny becomes the fabled, fiery 'Ghost Rider'.",46.834704,United States of America,2007-02-16,228738393,114.0,English,5.2,1712,Thriller,Action,Fantasy,mephisto,religion and supernatural,dying and death
96,96,Charlie's Angels: Full Throttle,,"The Angels are charged with finding a pair of missing rings that are encoded with the personal information of members of the Witness Protection Program. As informants are killed, the ladies target a rogue agent who might be responsible.",33.616115,United States of America,2003-06-27,259175788,106.0,English,5.2,914,Action,Adventure,Comedy,robbery,secret identity,secret agent
98,98,Stuart Little 2,,"Stuart, an adorable white mouse, still lives happily with his adoptive family, the Littles, on the east side of Manhattan's Central Park. More crazy mouse adventures are in store as Stuart, his human brother, George, and their mischievous cat, Snowbell, set out to rescue a friend.",27.990284,United States of America,2002-07-19,169956806,78.0,English,5.4,613,Family,Adventure,Animation,mouse,falcon,bird
102,102,The Croods,http://www.thecroodsmovie.com/,"The Croods is a prehistoric comedy adventure that follows the world's first family as they embark on a journey of a lifetime when the cave that has always shielded them from danger is destroyed. Traveling across a spectacular landscape, the Croods discover an incredible new world filled with fantastic creatures -- and their outlook is changed forever.",64.183321,United States of America,2013-03-20,585178928,98.0,English,6.8,2399,Adventure,Animation,Comedy,stone age,daughter,father
103,103,Teenage Mutant Ninja Turtles,http://www.teenagemutantninjaturtlesmovie.com,The city needs heroes. Darkness has settled over New York City as Shredder and his evil Foot Clan have an iron grip on everything from the police to the politicians. The future is grim until four unlikely outcast brothers rise from the sewers and discover their destiny as Teenage Mutant Ninja Turtles. The Turtles must work with fearless reporter April and her wise-cracking cameraman Vern Fenwick to save the city and unravel Shredder's diabolical plan.,143.350376,United States of America,2014-08-07,477200000,101.0,English,5.8,2636,Science Fiction,Action,Adventure,martial arts,terrorist,hero
104,104,Dante's Peak,,"Volcanologist Harry Dalton comes to the sleepy town of Dante's Peak to investigate the recent rumblings of the dormant volcano the burg is named for. Before long, his worst fears are realized when a massive eruption hits, and immediately, Harry, the mayor and the townspeople find themselves fighting for their lives amid a catastrophic nightmare.",16.90444,United States of America,1997-02-07,178127760,108.0,English,5.7,428,Action,Adventure,Thriller,helicopter,small town,mayor
107,107,Tomorrow Never Dies,http://www.mgm.com/view/movie/2029/Tomorrow-Never-Dies/,A deranged media mogul is staging international incidents to pit the world's superpowers against each other. Now 007 must take on this evil mastermind in an adrenaline-charged battle to end his reign of terror and prevent global pandemonium.,42.887121,United Kingdom,1997-12-11,333011068,119.0,Deutsch,6.0,925,Adventure,Action,Thriller,london england,england,spy
108,108,Ocean's Twelve,http://oceans12.warnerbros.com/,"Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam – but a Europol agent is hot on their heels.",76.840712,United States of America,2004-12-09,362744280,125.0,Français,6.4,2124,Thriller,Crime,,sequel,fabergé egg,dutch eastindian company
110,110,The Green Hornet,http://www.sonypictures.com/movies/thegreenhornet/,"Britt Reid (Seth Rogen), the heir to the largest newspaper fortune in Los Angeles, is a spoiled playboy who has been, thus far, happy to lead an aimless life. After his father (Tom Wilkinson) dies, Britt meets Kato (Jay Chou), a resourceful company employee. Realizing that they have the talent and resources to make something of their lives, Britt and Kato join forces as costumed crime-fighters to bring down the city's most-powerful criminal, Chudnofsky (Christoph Waltz).",31.703608,United States of America,2011-01-12,227817248,119.0,English,5.5,1251,Action,Crime,Comedy,bomb,martial arts,assassin
111,111,The Smurfs,http://www.smurfhappens.com/,"When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world and into ours -- in fact, smack dab in the middle of Central Park. Just three apples high and stuck in the Big Apple, the Smurfs must find a way to get back to their village before Gargamel tracks them down.",36.65422,United States of America,2011-07-29,563749323,103.0,English,5.5,1179,Animation,Family,Adventure,moon,magic,based on comic book
113,113,Real Steel,http://www.steelgetsreal.com/,"In the near-future, Charlie Kenton is a washed-up fighter who retired from the ring when robots took over the sport. After Charlie's robot is trashed, he reluctantly teams up with his estranged son Max to rebuild and train an unlikely contender.",37.195046,India,2011-09-28,299268508,127.0,English,6.6,2692,Action,Science Fiction,Drama,father son relationship,fight,sport
114,114,The Smurfs 2,http://smurfhappens.com,"The evil wizard Gargamel creates a couple of mischievous Smurf-like creatures called the Naughties that he hopes will let him harness the all-powerful, magical Smurf-essence. But when he discovers that only a real Smurf can give him what he wants, and only a secret spell that Smurfette knows can turn the Naughties into real Smurfs, Gargamel kidnaps Smurfette and brings her to Paris, where he has been winning the adoration of millions as the world¹s greatest sorcerer. It's up to Papa, Clumsy, Grouchy, and Vanity to return to our world, reunite with their human friends Patrick and Grace Winslow, and rescue her! Will Smurfette, who has always felt different from the other Smurfs, find a new connection with the Naughties Vexy and Hackus or will the Smurfs convince her that their love for her is True Blue?",32.473628,United States of America,2013-07-30,347434178,105.0,English,5.5,695,Fantasy,Family,Comedy,based on cartoon,animation,smurf
117,117,Stuart Little,,"The adventures of a heroic and debonair stalwart mouse named Stuart Little with human qualities, who faces some comic misadventures while searching for his lost bird friend and living with a human family as their child.",30.475297,Germany,1999-12-17,300135367,84.0,English,5.8,959,Animation,Fantasy,Family,brother brother relationship,based on novel,cat
118,118,The Princess and the Frog,http://disney.go.com/disneypictures/princessandthefrog/,"A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to do face the same problem after she kisses him.",62.479574,United States of America,2009-12-08,267045765,97.0,Français,6.7,1247,Romance,Family,Animation,based on novel,voodoo,kiss
119,119,The Island,http://www.theisland-themovie.com/,"In 2019, Lincoln Six-Echo is a resident of a seemingly ""Utopian"" but contained facility. Like all of the inhabitants of this carefully-controlled environment, Lincoln hopes to be chosen to go to The Island — reportedly the last uncontaminated location on the planet. But Lincoln soon discovers that everything about his existence is a lie.",37.68056,United States of America,2005-07-20,162949164,136.0,English,6.5,1770,Action,Thriller,Science Fiction,clone,transplantation,love of one's life
121,121,Casino Royale,http://www.mgm.com/#/our-titles/233/Casino-Royale-(2006),"Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond – on his maiden mission as a 00 Agent – to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.",88.935165,Italy,2006-11-14,599045960,144.0,English,7.3,3855,Adventure,Action,Thriller,italy,poker,casino
122,122,The Other Guys,http://www.theotherguys-movie.com/,"NYPD detectives Christopher Danson (Johnson) and P.K. Highsmith (Jackson) are the baddest and most beloved cops in New York City. They don't get tattoos, other men get tattoos of them. Two desks over and one back, sit detectives Allen Gamble (Ferrell) and Terry Hoitz (Wahlberg). You've seen them in the background of photos of Danson and Highsmith, out of focus and eyes closed. They're not heroes, they're ""the other guys."" But every cop has his or her day and soon Gamble and Hoitz stumble into a seemingly innocuous case no other detective wants to touch that could turn into NYC's biggest crime. It's the opportunity of their lives, but do these guys have the right stuff?",24.399642,United States of America,2010-08-06,170432927,107.0,English,6.1,1383,Action,Comedy,Crime,narration,ceo,fire truck
