mid,original_title,homepage,overview,popularity,production_countries,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,genres_1,genres_2,genres_3,keywords_1,keywords_2,keywords_3
78,Happy Feet Two,http://happyfeettwo.warnerbros.com/index.html,"Mumble the penguin has a problem: his son Erik, who is reluctant to dance, encounters The Mighty Sven, a penguin who can fly! Things get worse for Mumble when the world is shaken by powerful forces, causing him to brings together the penguin nations and their allies to set things right.",17.7735,Australia,2011-11-17,150406466,100.0,English,5.8,373,Animation,Comedy,Family,penguin,musical,aftercreditsstinger
83,The Hunger Games: Catching Fire,http://www.thehungergames.movie/,"Katniss Everdeen has returned home safe after winning the 74th Annual Hunger Games along with fellow tribute Peeta Mellark. Winning means that they must turn around and leave their family and close friends, embarking on a ""Victor's Tour"" of the districts. Along the way Katniss senses that a rebellion is simmering, but the Capitol is still very much in control as President Snow prepares the 75th Annual Hunger Games (The Quarter Quell) - a competition that could change Panem forever.",76.310119,United States of America,2013-11-15,847423452,146.0,English,7.4,6495,Adventure,Action,Science Fiction,competition,based on novel,mentor
90,The Da Vinci Code,http://www.sonypictures.com/homevideo/thedavincicode/index.html,"When the curator of the Louvre is found murdered in the famed museum's hallowed halls, Harvard professor, Robert Langdon and cryptographer, Sophie Neve must untangle a deadly web of deceit involving the works of Leonardo da Vinci.",45.313197,United States of America,2006-05-17,767820459,149.0,English,6.5,2704,Thriller,Mystery,,paris,holy grail,christianity
93,Total Recall,,"Construction worker Douglas Quaid discovers a memory chip in his brain during a virtual-reality trip. He also finds that his past has been invented to conceal a plot of planetary domination. Soon, he's off to Mars to find out who he is and who planted the chip.",43.129703,United States of America,1990-06-01,261317921,113.0,English,7.1,1710,Action,Adventure,Science Fiction,oxygen,falsely accused,resistance
99,How Do You Know,http://www.howdoyouknow-movie.com/,"After being cut from the USA softball team and feeling a bit past her prime, Lisa finds herself evaluating her life and in the middle of a love triangle, as a corporate guy in crisis competes with her current, baseball-playing beau.",11.137655,United States of America,2010-12-17,48668907,121.0,English,4.9,223,Comedy,Drama,Romance,love triangle,baseball,athlete
109,Gulliver's Travels,,"Travel writer Lemuel Gulliver takes an assignment in Bermuda, but ends up on the island of Liliput, where he towers over its tiny citizens.",22.845143,United States of America,2010-12-25,237382724,85.0,English,4.9,621,Comedy,,,journalist,forbidden love,princess
116,Ali,,"In 1964, a brash new pro boxer, fresh from his olympic gold medal victory, explodes on to the scene; Cassius Clay. Bold and outspoken, he cuts an entirely new image for African Americans in sport with his proud public self confidence and his unapologetic belief that he is the greatest boxer of all time. Yet at the top of his game, both Ali's personal and professional lives face the ultimate test.",18.866672,United States of America,2001-12-11,87713825,157.0,English,6.7,447,Drama,,,usa,transporter,boxer
124,The Hunchback of Notre Dame,,"When Quasi defies the evil Frollo and ventures out to the Festival of Fools, the cruel crowd jeers him. Rescued by fellow outcast the gypsy Esmeralda, Quasi soon finds himself battling to save the people and the city he loves.",46.727941,United States of America,1996-06-21,100138851,91.0,Latin,6.8,1129,Drama,Animation,Family,paris,based on novel,judge
126,The Expendables 2,http://theexpendables2film.com/,"Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.",53.732892,United States of America,2012-08-08,312573423,103.0,English,6.1,2896,Action,Adventure,Thriller,airplane,number in title,airplane crash
127,National Treasure,,"Modern treasure hunters, led by archaeologist Ben Gates, search for a chest of riches rumored to have been stashed away by George Washington, Thomas Jefferson and Benjamin Franklin during the Revolutionary War. The chest's whereabouts may lie in secret clues embedded in the Constitution and the Declaration of Independence, and Gates is in a race to find the gold before his enemies do.",58.849256,United States of America,2004-11-19,347451894,131.0,Latin,6.4,1926,Adventure,Action,Thriller,riddle,treasure,treasure hunt
134,The Expendables 3,http://theexpendables3film.com/,"Barney, Christmas and the rest of the team comes face-to-face with Conrad Stonebanks, who years ago co-founded The Expendables with Barney. Stonebanks subsequently became a ruthless arms trader and someone who Barney was forced to kill… or so he thought. Stonebanks, who eluded death once before, now is making it his mission to end The Expendables -- but Barney has other plans. Barney decides that he has to fight old blood with new blood, and brings in a new era of Expendables team members, recruiting individuals who are younger, faster and more tech-savvy. The latest mission becomes a clash of classic old-school style versus high-tech expertise in the Expendables’ most personal battle yet.",61.025639,France,2014-08-04,206172544,127.0,English,6.1,1795,Action,Adventure,Thriller,cia,arms dealer,sequel
148,Transcendence,,"Two leading computer scientists work toward their goal of Technological Singularity,  as a radical anti-technology organization fights to prevent them from creating a world where computers can transcend the abilities of the human brain.",58.991388,China,2014-04-16,103039258,119.0,English,5.9,2295,Thriller,Science Fiction,Drama,artificial intelligence,technology,nanotechnology
156,The Secret Life of Walter Mitty,,A timid magazine photo manager who lives life vicariously through daydreams embarks on a true-life adventure when a negative goes missing.,43.348022,United States of America,2013-12-18,188133322,114.0,English,7.0,3144,Adventure,Comedy,Drama,himalaya,photographer,magazine
161,The Girl with the Dragon Tattoo,http://dragontattoo.com/,"This English-language adaptation of the Swedish novel by Stieg Larsson follows a disgraced journalist, Mikael Blomkvist, as he investigates the disappearance of a weary patriarch's niece from 40 years ago. He is aided by the pierced, tattooed, punk computer hacker named Lisbeth Salander. As they work together in the investigation, Blomkvist and Salander uncover immense corruption beyond anything they have ever imagined.",47.651083,Norway,2011-12-14,232617430,158.0,English,7.2,2434,Thriller,Crime,Mystery,rape,journalist,based on novel
167,Hollow Man,,"Cocky researcher, Sebastian Caine is working on a project to make living creatures invisible and he's so confident he's found the right formula that he tests it on himself and soon begins to vanish. The only problem is – no-one can determine how to make him visible again. Caine's predicament eventually drives him mad, with terrifying results.",28.200874,Germany,2000-08-04,190213455,112.0,English,5.6,634,Action,Science Fiction,Thriller,killing,human experimentation,scientist
170,The Saint,,"Ivan Tretiak, Russian Mafia boss who wants to create an oil crisis in Moscow and seize power as a result sends Simon Templar, great international criminal, to England to get a secret formula for cold fusion from U.S. scientist Emma Russell. Templar falls in love with Emma and they try to outwit Tretiak and his guerrillas, hiding from them in Moscow",20.913852,United States of America,1997-04-03,118063304,116.0,English,5.9,302,Thriller,Action,Romance,berlin,russia,gas
172,Volcano,,"An earthquake shatters a peaceful Los Angeles morning and opens a fissure deep into the earth, causing lava to start bubbling up. As a volcano begins forming in the La Brea Tar Pits, the director of the city's emergency management service, Mike Roark, working with geologist Amy Barnes, must then use every resource in the city to try and stop the volcano from consuming Los Angeles.",19.836124,United States of America,1997-04-25,0,104.0,Deutsch,5.2,376,Science Fiction,Action,Drama,subway,lava,volcano
175,Happy Feet,http://www.warnerbros.com/happy-feet,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",37.272385,Australia,2006-11-16,384335608,108.0,English,5.9,1410,Animation,Comedy,,ocean,fish,zoo
176,Air Force One,,"Russian terrorists conspire to hijack the aircraft with the president and his family on board. The commander in chief finds himself facing an impossible predicament: give in to the terrorists and sacrifice his family, or risk everything to uphold his principles - and the integrity of the nation.",36.38795,Germany,1997-07-25,315156409,124.0,English,6.2,840,Action,Thriller,,prison,corruption,journalist
179,Hotel Transylvania,http://www.welcometohotelt.com,"Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teen-aged daughter.",56.257411,United States of America,2012-09-20,358375603,91.0,English,6.8,2566,Animation,Comedy,Family,witch,magic,mummy
183,The Holiday,http://www.sonypictures.com/movies/theholiday/,"Two women, one (Cameron Diaz) from America and one (Kate Winslet) from Britain, swap homes at Christmastime after bad breakups with their boyfriends. Each woman finds romance with a local man (Jude Law, Jack Black) but realizes that the imminent return home may end the relationship.",44.967453,United Kingdom,2006-12-08,194168700,136.0,English,6.7,1225,Comedy,Romance,,holiday,london england,film making
189,Mirror Mirror,,"After she spends all her money, an evil enchantress queen schemes to marry a handsome, wealthy prince. There's just one problem - he's in love with a beautiful princess, Snow White. Now, joined by seven rebellious dwarves, Snow White launches an epic battle of good vs. evil...",48.126297,United States of America,2012-03-15,183018522,106.0,English,5.5,1114,Adventure,Fantasy,Drama,attempted murder,fairy tale,black magic
191,Dredd,http://dreddthemovie.com/,"In the future, America is a dystopian wasteland. The latest scourge is Ma-Ma, a prostitute-turned-drug pusher with a dangerous new drug and aims to take over the city. The only possibility of stopping her is an elite group of urban police called Judges, who combine the duties of judge, jury and executioner to deliver a brutal brand of swift justice. But even the top-ranking Judge, Dredd, discovers that taking down Ma-Ma isn’t as easy as it seems in this explosive adaptation of the hugely popular comic series.",57.673932,South Africa,2012-09-07,41037742,95.0,English,6.6,1940,Action,Science Fiction,,usa,corruption,crime fighter
194,The Expendables,http://expendablesthemovie.com/,"Barney Ross leads a band of highly skilled mercenaries including knife enthusiast Lee Christmas, a martial arts expert, heavy weapons specialist, demolitionist, and a loose-cannon sniper. When the group is commissioned by the mysterious Mr. Church to assassinate the dictator of a small South American island, Barney and Lee visit the remote locale to scout out their opposition and discover the true nature of the conflict engulfing the city.",77.580661,United States of America,2010-08-03,274470394,103.0,English,6.0,2926,Thriller,Adventure,Action,tattoo,martial arts,sniper
195,The Hunger Games,http://www.thehungergames.movie/,"Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment, part government intimidation tactic, the Hunger Games are a nationally televised event in which “Tributes” must fight with one another until one survivor remains.  Pitted against highly-trained Tributes who have prepared for these Games their entire lives, Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If she’s ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching.",68.550698,United States of America,2012-03-12,691210692,142.0,English,6.9,9455,Science Fiction,Adventure,Fantasy,hallucination,dystopia,female protagonist
205,Road to Perdition,,"Mike Sullivan works as a hit man for crime boss John Rooney. Sullivan views Rooney as a father figure, however after his son is witness to a killing, Mike Sullivan finds himself on the run in attempt to save the life of his son and at the same time looking for revenge on those who wronged him.",49.078546,United States of America,2002-07-12,181001478,117.0,English,7.3,1077,Thriller,Crime,Drama,based on graphic novel,homework,shot in the chin
210,The Haunting,,"Dr. David Marrow invites Nell Vance, and Theo and Luke Sanderson to the eerie and isolated Hill House to be subjects for a sleep disorder study. The unfortunate guests discover that Marrow is far more interested in the sinister mansion itself – and they soon see the true nature of its horror.",19.375768,United States of America,1999-07-23,91188905,113.0,English,5.2,369,Horror,Thriller,Fantasy,based on novel,trauma,castle
212,The Manchurian Candidate,,"When his army unit was ambushed during the first Gulf War, Sergeant Raymond Shaw saved his fellow soldiers just as his commanding officer, then-Captain Ben Marco, was knocked unconscious. Brokering the incident for political capital, Shaw eventually becomes a vice-presidential nominee, while Marco is haunted by dreams of what happened -- or didn't happen -- in Kuwait. As Marco (now a Major) investigates, the story begins to unravel, to the point where he questions if it happened at all. Is it possible the entire unit was kidnapped and brainwashed to believe Shaw is a war hero as part of a plot to seize the White House? Some very powerful people at Manchurian Global corporation appear desperate to stop him from finding out.",21.394281,United States of America,2004-07-30,96105964,129.0,English,6.2,393,Drama,Thriller,Mystery,senator,gulf war,canoe
214,The Time Machine,http://timemachine.countingdown.com/,"Hoping to alter the events of the past, a 19th century inventor instead travels 800,000 years into the future, where he finds humankind divided into two warring races.",25.978555,United States of America,2002-03-04,123729176,96.0,English,5.8,631,Science Fiction,Adventure,Action,future,time machine,
221,Surrogates,http://chooseyoursurrogate.com/,"Set in a futuristic world where humans live in isolation and interact through surrogate robots, a cop is forced to leave his home for the first time in years in order to investigate the murders of others' surrogates.",36.664991,United States of America,2009-09-24,122444772,89.0,English,5.9,1195,Action,Science Fiction,Thriller,clone,dystopia,
223,Timeline,,A group of archaeological students become trapped in the past when they go there to retrieve their professor. The group must survive in 14th century France long enough to be rescued.,11.22268,United States of America,2003-11-26,19480739,116.0,English,5.4,318,Action,Adventure,Science Fiction,professor,time travel,quantum mechanics
226,Jack and Jill,http://www.jackandjill-movie.com/,"Jack Sadelstein, a successful advertising executive in Los Angeles with a beautiful wife and kids, dreads one event each year: the Thanksgiving visit of his twin sister Jill. Jill's neediness and passive-aggressiveness is maddening to Jack, turning his normally tranquil life upside down.",22.132418,United States of America,2011-11-11,149673788,91.0,English,4.1,604,Comedy,,,duringcreditsstinger,,
233,Exorcist: The Beginning,,"Having lived through traumatizing events during WWII, Father Lankester Merrin takes a sabbatical from the Church to conduct archaeological excavations in British-administered East Africa. Merrin unearths an ancient Byzantine church believed have been built and then immediately buried to keep down evil from the crypt below. The natives are convinced that uncovering the church has unleashed a demon, and begin to violently clash with the British military troops. As the village rapidly disintegrates into chaos and war, Merrin must face-off with the demon which has taken possession of somebody close to him.",15.761384,United States of America,2004-08-20,78000586,114.0,English,4.7,183,Horror,Mystery,Thriller,secret,obsession,exorcism
235,Grown Ups,http://www.grownups-movie.com/,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",38.864027,United States of America,2010-06-24,271430189,102.0,English,6.0,1705,Comedy,,,overweight,swing,foot
237,Shark Tale,,"Oscar is a small fish whose big aspirations often get him into trouble. Meanwhile, Lenny is a great white shark with a surprising secret that no sea creature would guess: He's a vegetarian. When a lie turns Oscar into an improbable hero and Lenny becomes an outcast, the two form an unlikely friendship.",47.094369,United States of America,2004-09-20,367275019,90.0,English,5.8,1557,Animation,Action,Comedy,fish,hero,mission of murder
238,Tears of the Sun,,"Navy SEAL Lieutenant A.K. Waters and his elite squadron of tactical specialists are forced to choose between their duty and their humanity, between following orders by ignoring the conflict that surrounds them, or finding the courage to follow their conscience and protect a group of innocent refugees. When the democratic government of Nigeria collapses and the country is taken over by a ruthless military dictator, Waters, a fiercely loyal and hardened veteran is dispatched on a routine mission to retrieve a Doctors Without Borders physician.",27.055085,United States of America,2003-03-07,85632458,121.0,English,6.4,573,Action,Drama,War,u.s. army,nigeria,president
241,First Knight,,"The timeless tale of King Arthur and the legend of Camelot are retold in this passionate period drama. Arthur is reluctant to hand the crown to Lancelot, and Guinevere is torn between her loyalty to her husband and her growing love for his rival. But Lancelot must balance his loyalty to the throne with the rewards of true love.",19.143321,United States of America,1995-07-07,127600435,134.0,English,5.9,311,Action,Adventure,Drama,camelot,knight,king arthur
245,Sucker Punch,http://suckerpunchmovie.warnerbros.com,"A young girl is institutionalized by her abusive stepfather. Retreating to an alternative reality as a coping strategy, she envisions a plan which will help her escape from the mental facility.",39.127082,United States of America,2011-03-24,89792502,110.0,English,5.9,1623,Action,Fantasy,Thriller,brothel,fantasy,asylum
247,The Village,,"When a willful young man tries to venture beyond his sequestered Pennsylvania hamlet, his actions set off a chain of chilling incidents that will alter the community forever.",27.491891,United States of America,2004-07-30,256697520,108.0,English,6.2,1071,Drama,Mystery,Thriller,secret,forest,rural setting
248,Signs,,A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.,28.848187,United States of America,2002-08-02,408247917,106.0,English,6.4,1599,Drama,Thriller,Science Fiction,symbolism,water,farm
249,Shrek 2,http://www.shrek2.com/,"Shrek, Fiona and Donkey set off to Far, Far Away to meet Fiona's mother and father. But not everyone is happy. Shrek and the King find it hard to get along, and there's tension in the marriage. The fairy godmother discovers that Shrek has married Fiona instead of her Son Prince Charming and sets about destroying their marriage.",47.320801,United States of America,2004-05-19,919838758,93.0,English,6.7,2988,Adventure,Animation,Comedy,prison,magic,liberation
255,We Were Soldiers,,The story of the first major battle of the American phase of the Vietnam War and the soldiers on both sides that fought it.,19.708731,Germany,2002-03-01,114660784,138.0,English,6.7,521,Action,History,War,vietnam veteran,missile,vietnam war
257,Star Trek: Insurrection,,"When an alien race and factions within Starfleet attempt to take over a planet that has ""regenerative"" properties, it falls upon Captain Picard and the crew of the Enterprise to defend the planet's people as well as the very ideals upon which the Federation itself was founded.",19.711951,United States of America,1998-12-10,118000000,103.0,English,6.3,391,Science Fiction,Action,Adventure,space opera,retribution,spacecraft officer
259,Big Fish,,"Throughout his life Edward Bloom has always been a man of big appetites, enormous passions and tall tales. In his later years, he remains a huge mystery to his son, William. Now, to get to know the real man, Will begins piecing together a true picture of his father from flashbacks of his amazing adventures.",46.199482,United States of America,2003-12-25,122919055,125.0,English,7.6,1994,Adventure,Fantasy,Drama,circus,father son relationship,witch
261,Stardust,http://www.stardustmovie.com,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm. His journey takes him into a world beyond his wildest dreams and reveals his true identity.",48.032734,Iceland,2007-08-09,135560026,127.0,English,7.1,1184,Adventure,Fantasy,Romance,witch,based on novel,new love
262,Bad Company,,"When a Harvard-educated CIA agent is killed during an operation, the secret agency recruits his twin brother.",14.086292,United States of America,2002-06-07,65977295,116.0,English,5.4,228,Action,Adventure,Comedy,ambush,cia,assassin
272,Dreamcatcher,http://dreamcatchermovie.warnerbros.com/,"Four boyhood pals perform a heroic act and are changed by the powers they gain in return. Years later, on a hunting trip in the Maine woods, they're overtaken by a vicious blizzard that harbors an ominous presence. Challenged to stop an alien force, the friends must first prevent the slaughter of innocent civilians by a military vigilante ... and then overcome a threat to the bond that unites the four of them.",26.792794,United States of America,2003-03-21,75715436,136.0,English,5.3,567,Drama,Horror,Science Fiction,religion and supernatural,,
279,The Mask of Zorro,,"It has been twenty years since Don Diego de la Vega fought Spanish oppression in Alta California as the legendary romantic hero, Zorro. Having escaped from prison he transforms troubled bandit Alejandro into his successor, in order to foil the plans of the tyrannical Don Rafael Montero who robbed him of his freedom, his wife and his precious daughter.",31.086791,United States of America,1998-07-16,250288523,136.0,English,6.3,1183,Action,Adventure,,california,spy,hero
284,The Kid,http://movies.disney.com/the-kid,"Powerful businessman Russ Duritz is self-absorbed and immersed in his work. But by the magic of the moon, he meets Rusty, a chubby, charming 8-year-old version of himself who can't believe he could turn out so badly -- with no life and no dog. With Rusty's help, Russ is able to reconcile the person he used to dream of being with the man he's actually become.",18.281798,United States of America,2000-07-07,69700000,104.0,English,6.0,238,Fantasy,Comedy,Family,age difference,midlife crisis,suppressed past
286,Mona Lisa Smile,,"The story of Katherine Ann Watson, a feminist teacher who studied at UCLA graduate school and in 1953 left her boyfriend behind in Los Angeles, California to teach at Wellesley College, a conservative women's private liberal arts college in Massachusetts, United States.",19.718544,United States of America,2003-12-19,0,117.0,English,6.5,393,Drama,Romance,,faculty,art history,rowing
287,The Dictator,http://www.dictatorthemovie.com/,The heroic story of a dictator who risks his life to ensure that democracy would never come to the country he so lovingly oppressed.,31.349143,United States of America,2012-05-15,179379533,83.0,English,5.9,1743,Comedy,,,kurdish,,
289,Blade: Trinity,http://www.warnerbros.com/blade-trinity,"For years, Blade has fought against the vampires in the cover of the night. But now, after falling into the crosshairs of the FBI, he is forced out into the daylight, where he is driven to join forces with a clan of human vampire hunters he never knew existed - The Nightstalkers. Together with Abigail and Hannibal, two deftly trained Nightstalkers, Blade follows a trail of blood to the ancient creature that is also hunting him, the original vampire, Dracula.",49.660055,United States of America,2004-12-08,128905366,123.0,Esperanto,5.7,1252,Science Fiction,Action,Horror,fbi,dracula,fistfight
290,Red Dawn,,"It is the mid-1980s. From out of the sky, Soviet and Cuban troops begin landing on the football field of a Colorado high school. In seconds, the paratroops have attacked the school and sent a group of teenagers fleeing into the mountains. Armed only with hunting rifles, pistols and bows and arrows, the teens struggles to survive the bitter winter and Soviet KGB patrols hunting for them.",11.743085,United States of America,1984-08-10,38376497,114.0,English,6.4,215,Action,Thriller,,guerrilla,colorado,invasion
291,Resident Evil: Retribution,http://www.residentevil-movie.com/site/,"The Umbrella Corporation’s deadly T-virus continues to ravage the Earth, transforming the global population into legions of the flesh eating Undead. The human race’s last and only hope, Alice, awakens in the heart of Umbrella’s most clandestine operations facility and unveils more of her mysterious past as she delves further into the complex. Without a safe haven, Alice continues to hunt those responsible for the outbreak; a chase that takes her from Tokyo to New York, Washington, D.C. and Moscow, culminating in a mind-blowing revelation that will force her to rethink everything that she once thought to be true. Aided by new found allies and familiar friends, Alice must fight to survive long enough to escape a hostile world on the brink of oblivion. The countdown has begun.",6.227675,Canada,2012-09-12,240159255,95.0,English,5.6,1600,Action,Horror,Science Fiction,mutant,dystopia,sequel
304,Gone Girl,http://www.gonegirlmovie.com/,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",143.041543,United States of America,2014-10-01,369330363,145.0,English,7.9,5862,Mystery,Thriller,Drama,based on novel,marriage crisis,disappearance
305,GoldenEye,http://www.mgm.com/view/movie/757/Goldeneye/,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,59.824565,United Kingdom,1995-11-16,352194034,130.0,English,6.6,1174,Adventure,Action,Thriller,cuba,falsely accused,secret identity
309,Jack Reacher,http://www.jackreachermovie.com/,"In an innocent heartland city, five are shot dead by an expert sniper. The police quickly identify and arrest the culprit, and build a slam-dunk case. But the accused man claims he's innocent and says ""Get Jack Reacher."" Reacher himself sees the news report and turns up in the city. The defense is immensely relieved, but Reacher has come to bury the guy. Shocked at the accused's request, Reacher sets out to confirm for himself the absolute certainty of the man's guilt, but comes up with more than he bargained for.",56.868399,United States of America,2012-12-20,218340595,130.0,English,6.3,2998,Crime,Drama,Thriller,based on novel,sniper,investigation
316,The Jackal,,"Hired by a powerful member of the Russian mafia to avenge an FBI sting that left his brother dead, the perfectionist Jackal proves an elusive target for the men charged with the task of bringing him down: a deputy FBI boss and a former IRA terrorist.",19.747459,United States of America,1997-11-14,159330280,124.0,English,6.1,527,Action,Thriller,Adventure,fbi,cold war,hitman
325,Star Trek: Nemesis,,"En route to the honeymoon of William Riker to Deanna Troi on her home planet of Betazed, Captain Jean-Luc Picard and the crew of the U.S.S. Enterprise receives word from Starfleet that a coup has resulted in the installation of a new Romulan political leader, Shinzon, who claims to seek peace with the human-backed United Federation of Planets. Once in enemy territory, the captain and his crew make a startling discovery: Shinzon is human, a slave from the Romulan sister planet of Remus, and has a secret, shocking relationship to Picard himself.",21.605533,United States of America,2002-12-13,67312826,117.0,English,6.1,479,Science Fiction,Action,Adventure,clone,assassination,ambush
327,Mercury Rising,,"Renegade FBI agent Art Jeffries protects a nine-year-old autistic boy who has cracked the government's new ""unbreakable"" code.",18.877795,United States of America,1998-04-03,0,111.0,English,6.0,368,Action,Crime,Drama,assassin,loss of family,autism
331,Priest,http://www.priest-themovie.com/,"In an alternate world, humanity and vampires have warred for centuries. After the last Vampire War, the veteran Warrior Priest lives in obscurity with other humans inside one of the Church's walled cities. When the Priest's niece is kidnapped by vampires, the Priest breaks his vows to hunt them down. He is accompanied by the niece's boyfriend, who is a wasteland sheriff, and a former Warrior Priestess.",28.350927,United States of America,2011-05-05,78309131,87.0,Português,5.4,692,Action,Science Fiction,Fantasy,vampire,crucifixion,post-apocalyptic
332,Sinbad: Legend of the Seven Seas,http://sinbad-themovie.com/main.html,"The sailor of legend is framed by the goddess Eris for the theft of the Book of Peace, and must travel to her realm at the end of the world to retrieve it and save the life of his childhood friend Prince Proteus.",18.815442,United States of America,2003-07-02,26288320,86.0,广州话 / 廣州話,6.6,372,Family,Animation,Adventure,prince,water monster,
334,The Last Castle,,A Court Martialed general rallies together 1200 inmates to rise against the system that put him away.,15.433244,United States of America,2001-10-19,27642707,131.0,English,7.0,285,Action,Drama,Thriller,prison,general,
